country,iso3c,indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"International tourism, expenditures (% of total imports)",10.8244974883694,9.82523301677999,10.8413413290045,11.8959884930874,5.85682753416109,4.99210619976997,4.39818480925157,4.56740537730946,3.99301255607588,8.39226411408479,12.5869547646631,4.24549195907641,10.2460963358125,15.0708049177075,15.4754614603893,16.7401966898059,15.8648278820643,17.1229041781619,17.3578939246364,17.8122814334042,18.8513550991843,NA,NA
Afghanistan,AFG,"International tourism, expenditures (% of total imports)",NA,NA,NA,NA,NA,NA,NA,NA,1.01833894909722,1.72112836697912,1.83667067700926,3.53808215690225,1.12575275556025,1.37250239634978,1.69766312411754,1.7843923018448,1.21460632498981,1.63389324656947,2.82937174604224,2.27925799913782,0.701718914339217,NA,NA
Angola,AGO,"International tourism, expenditures (% of total imports)",2.54400607773507,1.19450943737112,0.734243795836534,0.556738775052417,0.808687735251078,0.891429156256578,2.41269816562604,1.79815707274069,1.03660512923927,0.645479784351919,0.776370722604321,0.735791047875332,0.628160033280797,0.639765830697099,0.943256700156265,1.02452634658014,3.20769786123003,4.30342893395539,2.94352197094216,3.215343435747,4.56235480401656,NA,NA
Albania,ALB,"International tourism, expenditures (% of total imports)",21.4767088795083,16.8641464484985,21.1216354493272,22.3749004761121,23.1268088369536,23.0834119188353,24.281157029946,24.9057976767104,24.4326591033007,28.0659043814401,25.1179546070202,24.9960686245511,23.4778135287766,26.077673872918,27.0707081546519,25.8566641402658,24.5892114234727,24.0589869528205,25.5314674703335,26.7405364956151,14.1943123522602,NA,NA
Andorra,AND,"International tourism, expenditures (% of total imports)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.20230138613722,NA,NA,NA
United Arab Emirates,ARE,"International tourism, expenditures (% of total imports)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,"International tourism, expenditures (% of total imports)",16.5110296556327,17.713390820939,20.5740026782193,16.0057592962379,11.5297638986128,10.2135270895557,9.80808614069035,9.48055476149587,8.77310158457467,11.6901654929959,9.37488699684106,8.59777278845781,10.1526534471861,9.32539540339701,9.68288399543666,12.2000260949546,16.2728419653326,15.8771787647257,15.0699719483025,14.78807039331,5.24657959288086,NA,NA
Armenia,ARM,"International tourism, expenditures (% of total imports)",5.67979396910915,5.44660204856831,7.04207833917004,6.34124310864207,11.2904084589597,11.376606462776,11.1858436806996,11.0959293120137,9.74144973987652,12.635066549415,14.127771550521,15.3726279358666,17.032460443743,18.3858618095078,20.0646823330097,23.918389871403,23.107765592608,21.542413329103,19.9857190359168,20.2935280738801,6.49312744929812,NA,NA
American Samoa,ASM,"International tourism, expenditures (% of total imports)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,"International tourism, expenditures (% of total imports)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.62971082599452,11.1320531540478,10.9356956409107,10.9191971279902,9.79781328811019,10.0810843701154,4.7313504566277,NA,NA
Australia,AUS,"International tourism, expenditures (% of total imports)",10.2698524856961,10.2972303701868,9.68426375613983,9.61612265394953,10.9642344576309,10.6086965040116,10.170552294007,10.7136337153921,10.3710793281815,11.0558338904455,10.9622049762648,10.9016287438307,10.5647841707277,10.9761939410055,11.5209386024493,12.577842439378,13.6699691597986,13.7245041449889,13.6227899751241,14.028677367747,3.05842321346217,NA,NA
Austria,AUT,"International tourism, expenditures (% of total imports)",NA,NA,NA,NA,NA,7.43995447611491,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01468039908684,6.0474842171807,6.04880435215347,5.90499161504003,6.00107724728079,2.62165923091976,NA,NA
Azerbaijan,AZE,"International tourism, expenditures (% of total imports)",6.8198193835081,5.58704069478372,3.53790804140768,2.52565220758841,2.2579268554272,2.76046653646466,3.24360129956913,4.1135988126923,4.06390925076753,4.98624440260858,8.3623214116849,11.3194968082584,15.0462232973376,15.5544268221932,16.0405933001135,14.8700456672493,15.6894958613433,16.386956193334,13.8546875412132,10.382522210022,2.82536435776475,NA,NA
Burundi,BDI,"International tourism, expenditures (% of total imports)",NA,NA,NA,NA,12.4970299781383,19.1954763856734,28.1922755229195,24.2978526411938,25.4103928724218,13.6627539858496,5.76851295488023,6.40253891441921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,BEL,"International tourism, expenditures (% of total imports)",NA,NA,6.11456705689674,6.44852274093303,6.20221670893693,6.06452731446082,5.99553775131742,5.40668251067277,NA,6.33223018450518,5.73509948148273,5.25851575638471,5.41959670535997,5.74233264328992,6.07103125213551,4.48946224182483,4.43837145394551,4.31947298125169,4.58860659311641,4.79164162299025,3.41085391179177,NA,NA
Benin,BEN,"International tourism, expenditures (% of total imports)",7.04721578597674,6.43800108558272,5.4939341728516,4.92987711032366,5.2157209696071,5.06527669775788,5.07433467367068,5.08286285299704,4.23333834842352,3.92392759049392,3.97014761760757,3.5106768558946,3.7107205407454402,1.1771205597817,1.30145058337234,4.03630650804447,2.34140811248444,3.6835662745152,1.62787407312044,3.018621699505,NA,NA,NA
